ProductID,ProductName,CategoryName,ProductDescription,ProductStandardCost,ProductListPrice,Profit
P063,Intel Core i7-4790K,CPU,"Speed:3.4GHz,Cores:6",461.92,620.95,159.03
P064,Intel Xeon E5-2640 V2,CPU,"Speed:2.0GHz,Cores:8",545.19,608.95,63.76
P065,Intel Xeon E5-1650 V4,CPU,"Speed:3.6GHz,Cores:6",535.47,601.99,66.52
P066,Intel Xeon E5-1650 V4 (OEM/Tray),CPU,"Speed:3.6GHz,Cores:6",453.14,594.99,141.85
P067,Intel Xeon E5-2630 V3 (OEM/Tray),CPU,"Speed:2.4GHz,Cores:8",421.9,589.99,168.09
P068,Intel Xeon E5-2630 V2,CPU,"Cores:6,TDP:80W",493.48,588.95,95.47
P069,Intel Xeon E5-1650 V3,CPU,"Cores:6,TDP:140W",399.77,564.89,165.12
P070,Intel Core i7-5930,CPU,"Cores:6,TDP:140W",481.56,554.99,73.43
P071,PNY VCQP6000-PB,Video Card,Memory:24GBCore Clock:1.42GHz,4058.99,5499.99,1441
P072,PNY VCQM6000-24GB-PB,Video Card,Chipset:Quadro M6000,3619.14,4139,519.86
P073,PNY VCQM6000-PB,Video Card,Chipset:Quadro M6000,2505.04,3254.99,749.95
P074,ATI FirePro W9000,Video Card,Chipset:FirePro W9000,2785.55,3192.97,407.42
P075,ATI FirePro S9150,Video Card,Chipset:FirePro S9150,2628.06,3177.44,549.38
P076,AMD FirePro W9100,Video Card,Chipset:FirePro W9100,2483.38,2998.89,515.51
P077,EVGA 12G-P4-3992-KR,Video Card,Chipset:GeForce GTX Titan Z,2313.07,2799.99,486.92
P078,AMD 100-505989,Video Card,Chipset:FirePro W9100,2128.67,2699.99,571.32
P079,PNY VCQK6000-PB,Video Card,Chipset:Quadro K6000,1740.31,2290.79,550.48
P080,PNY VCQP5000-PB,Video Card,Chipset:Quadro P5000,1602.21,2015.11,412.9
P081,HP C2J95AT,Video Card,Chipset:Quadro K5000,1715.91,1999.89,283.98
P082,EVGA 12G-P4-1999-KR,Video Card,Chipset:GeForce GTX Titan X,1328.03,1799.99,471.96
P083,PNY VCQM5000-PB,Video Card,Chipset:Quadro M5000,1268.42,1759.99,491.57
P084,ATI FirePro S9050,Video Card,Chipset:FirePro S9050,1237.04,1699,461.96
P085,AMD 100-5056062,Video Card,Chipset:Vega Frontier Edition Liquid,1343.84,1499.99,156.15
P086,PNY VCQK5200-PB,Video Card,Chipset:Quadro K5200,1129.39,1449.98,320.59
P087,AMD FirePro S7000,Video Card,Chipset:FirePro S7000,936.42,1218.5,282.08
P088,AMD 100-506061,Video Card,Chipset:Vega Frontier Edition Liquid,706.99,999.99,293
P089,ATI FirePro R5000,Video Card,Chipset:FirePro R5000,760.59,999.99,239.4
P090,PNY VCQK4200-PB,Video Card,Chipset:Quadro K4200,799.05,949.89,150.84
P091,Asus GTX780TI-3GD5,Video Card,Chipset:GeForce GTX 780 Ti,781.91,899.99,118.08
P092,MSI GTX 1080 TI LIGHTNING Z,Video Card,Chipset:GeForce GTX 1080 Ti,688.35,873.98,185.63
P093,Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING,Video Card,Chipset:GeForce GTX 1080 Ti,696.14,864.98,168.84
P094,MSI GTX 1080 TI LIGHTNING X,Video Card,Chipset:GeForce GTX 1080 Ti,742.94,863.98,121.04
P095,Zotac ZT-P10810A-10P,Video Card,Chipset:GeForce GTX 1080 Ti,702.35,849.99,147.64
P096,MSI GAMING,Video Card,Chipset:GeForce GTX 780 Ti,753.18,849.99,96.81
P097,Asus STRIX-GTX1080TI-O11G-GAMING,Video Card,Chipset:GeForce GTX 1080 Ti,691.13,829.99,138.86
P098,PNY VCQP4000-PB,Video Card,Chipset:Quadro P4000,725,829.89,105
P099,Gigabyte GV-N108TAORUSX W-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,596.05,824.98,228.93
P100,Zotac ZT-70203-10P,Video Card,Chipset:GeForce GTX 780,580.42,820.61,240.19
P101,EVGA 11G-P4-6598-KR,Video Card,Chipset:GeForce GTX 1080 Ti,663.54,809.99,146.45
P102,MSI GTX 1080 TI SEA HAWK X,Video Card,Chipset:GeForce GTX 1080 Ti,691.32,804.98,113.66
P103,Corsair CB-9060011-WW,Video Card,Chipset:GeForce GTX 1080 Ti,573.51,799.99,226.48
P104,MSI GTX 1080 TI AERO 11G OC,Video Card,Chipset:GeForce GTX 1080 Ti,715.72,798.26,82.54
P105,NVIDIA VCQM4000-PB,Video Card,Chipset:Quadro M4000,682.09,790,107.91
P106,Gigabyte GV-N108TAORUS X-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,688.35,784.98,96.63
P107,Gigabyte GV-N1070WF2OC-8GD,Video Card,Chipset:GeForce GTX 1070,551.62,769.99,218.37
P108,MSI GeForce GTX 1080 TI ARMOR 11G OC,Video Card,Chipset:GeForce GTX 1080 Ti,644.19,764.98,120.79
P109,EVGA 11G-P4-6696-KR,Video Card,Chipset:GeForce GTX 1080 Ti,594.46,759.99,165.53
P110,MSI GeForce GTX 1080 Ti GAMING X 11G,Video Card,Chipset:GeForce GTX 1080 Ti,666.59,759.99,93.4
P111,Zotac ZT-P10810C-10P,Video Card,Chipset:GeForce GTX 1080 Ti,535.03,759.99,224.96
P112,Zotac ZT-P10810D-10P,Video Card,Chipset:GeForce GTX 1080 Ti,580.1,759.99,179.89
P113,PNY VCGGTX1080T11XGPB-OC,Video Card,Chipset:GeForce GTX 1080 Ti,600.92,759.99,159.07
P114,Zotac ZT-P10810G-10P,Video Card,Chipset:GeForce GTX 1080 Ti,598.25,754.98,156.73
P115,Gigabyte GV-N98TWF3OC-6GD,Video Card,Chipset:GeForce GTX 980 Ti,633.29,749.99,116.7
P116,PNY VCGGTX780T3XPB-OC,Video Card,Chipset:GeForce GTX 780 Ti,592.12,749.99,157.87
P117,MSI GTX 980 Ti Gaming 6G,Video Card,Chipset:GeForce GTX 980 Ti,539.98,745.32,205.34
P118,Gigabyte GV-N108TAORUS-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,605.3,744.98,139.68
P119,EVGA 06G-P4-4998-KR,Video Card,Chipset:GeForce GTX 980 Ti,521.03,741.78,220.75
P120,MSI GTX 1080 Ti DUKE 11G OC,Video Card,Memory:11GBCore Clock:1.53GHz,555.07,739.99,184.92
P121,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",1139.23,1620.99,481.76
P122,G.Skill TridentZ RGB,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1330.26,1504.99,174.73
P123,Corsair Dominator Platinum,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1051.97,1449.99,398.02
P124,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1163.49,1431.99,268.5
P125,G.Skill Trident Z RGB,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1174.36,1418.99,244.63
P126,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1139.87,1318.99,179.12
P127,Corsair Dominator Platinum,Storage,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1131.68,1314.99,183.31
P128,Corsair Vengeance LPX,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",912.98,1299.99,387.01
P129,Corsair Dominator Platinum,Storage,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1068.66,1264.99,196.33
P130,Corsair Vengeance LPX,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1019.51,1199.99,180.48
P131,Corsair Dominator Platinum,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1002.47,1199.99,197.52
P132,Corsair Vengeance LPX,Storage,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",867.52,1163.99,296.47
P133,Corsair Vengeance LPX,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",821.91,1099.99,278.08
P134,G.Skill Ripjaws 4 Series,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",836.03,1055.99,219.96
P135,Kingston HyperX Beast,Storage,"Speed:DDR3-1866,Type:240-pin DIMM,CAS:10Module:8x8GBSize:64GB",708.91,863.05,154.14
P136,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:2x16GBSize:32GB",580.33,811.99,231.66
P137,Corsair Vengeance Pro,Storage,"Speed:DDR3-2133,Type:240-pin DIMM,CAS:11Module:8x8GBSize:64GB",596.25,808.92,212.67
P138,Corsair Dominator Platinum,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",700.5,804.99,104.49
P139,G.Skill Trident Z RGB,Storage,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",622.47,799.99,177.52
P140,Crucial,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:17Module:1x64GBSize:64GB",604.04,799,194.96
P141,G.Skill Trident Z,Storage,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",594.04,768.99,174.95
P142,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",590.13,766.11,175.98
P143,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",647.83,760.99,113.16
P144,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",556.8,758.99,202.19
P145,Corsair Dominator Platinum,Storage,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",609.89,749.99,140.1
P146,Kingston,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",650.48,741.63,91.15
P147,Corsair Vengeance LPX,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",609.53,734.99,125.46
P148,G.Skill Trident Z,Storage,"Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",565.39,731.99,166.6
P149,G.Skill Trident Z,Storage,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",601.56,725.99,124.43
P150,G.Skill Trident Z,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",532.27,722.99,190.72
P151,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",603.22,721.99,118.77
P152,Corsair Dominator Platinum,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",616.53,719.99,103.46
P153,Corsair Dominator Platinum,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",538.55,719.99,181.44
P154,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",585.26,713.99,128.73
P155,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",533.21,713.99,180.78
P156,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",580.21,704.99,124.78
P157,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",618.63,704.99,86.36
P158,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",633.65,704.99,71.34
P159,Corsair Vengeance LPX,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",565.73,699.99,134.26
P160,Corsair Dominator Platinum,Storage,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",578.46,699.89,121.43
P161,Corsair Vengeance LPX,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",595.42,699.01,103.59
P162,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",617.62,695.99,78.37
P163,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",577.25,695.99,118.74
P164,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",517.78,686.99,169.21
P165,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",546.64,686.99,140.35
P166,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",602.4,680.99,78.59
P167,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",546.05,677.99,131.94
P168,Kingston,Storage,"Speed:DDR3-1333,Type:240-pin DIMM,CAS:9Module:4x16GBSize:64GB",556.84,671.38,114.54
P169,Corsair Dominator Platinum,Storage,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",537.63,659.99,122.36
P170,Kingston,Storage,"Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x8GBSize:32GB",566.98,653.5,86.52
P171,G.Skill Trident X,Storage,"Speed:DDR3-3100,Type:240-pin DIMM,CAS:12Module:2x4GBSize:8GB",507.32,649.99,142.67
P172,Corsair Vengeance LPX,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",571.7,645.99,74.29
P173,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",499.09,645.99,146.9
P174,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",452.54,645.2,192.66
P175,Kingston,Storage,"Speed:DDR3-1600,Type:240-pin DIMM,CAS:11Module:4x16GBSize:64GB",474.18,644,169.82
P176,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x8GBSize:64GB",510.93,640.99,130.06
P177,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",450.36,640.99,190.63
P178,Kingston,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",471.78,635.99,164.21
P179,Intel DP35DPM,Mother Board,"CPU:LGA775,Form Factor:ATX,RAM Slots:4,Max RAM:8GB",626.22,789.79,163.57
P180,Asus X99-E-10G WS,Mother Board,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",582.02,649,66.98
P181,Asus ROG MAXIMUS IX EXTREME,Mother Board,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",480.89,573.99,93.1
P182,Asus RAMPAGE V EXTREME,Mother Board,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:64GB",459,572.96,113.96
P183,Asus Z10PE-D8 WS,Mother Board,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:8,Max RAM:512GB",504.14,561.59,57.45
P184,MSI X99A GODLIKE GAMING CARBON,Mother Board,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",415,549.59,134.59
P185,Supermicro H8DG6-F,Mother Board,"CPU:G34 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:512GB",416.64,525.99,109.35
P186,Asus Rampage V Edition 10,Mother Board,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",452.5,519.99,67.49
P187,Gigabyte GA-Z270X-Gaming 9,Mother Board,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",380.05,503.98,123.93
P188,Gigabyte X299 AORUS Gaming 9,Mother Board,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",395.24,499.99,104.75
P189,ASRock E3C224D4M-16RE,Mother Board,"CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",364.79,499.99,135.2
P190,Asus PRIME X299-DELUXE,Mother Board,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",409.92,487.3,77.38
P191,Asus X99-E WS/USB 3.1,Mother Board,"CPU:LGA2011-3,Form Factor:SSI CEB,RAM Slots:8,Max RAM:128GB",428.89,482.49,53.6
P192,Supermicro X9SRH-7TF,Mother Board,"CPU:LGA2011,Form Factor:ATX,RAM Slots:8,Max RAM:64GB",411.64,479.99,68.35
P193,Asus Z10PE-D16 WS,Mother Board,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB",332.52,469.99,137.47
P194,ASRock X99 Extreme11,Mother Board,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",380.55,469.99,89.44
P195,Supermicro MBD-X10DAX,Mother Board,"CPU:LGA2011-3 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:256GB",385.24,443.72,58.48
P196,Asus X99-DELUXE/U3.1,Mother Board,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB",332.38,440.3,107.92
P197,Supermicro X11SSL-CF,Mother Board,"CPU:LGA1151,Form Factor:Micro ATX,RAM Slots:4,Max RAM:64GB",317.81,419.99,102.18
P198,Asus KGPE-D16,Mother Board,"CPU:G34 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:256GB",360.72,417.98,57.26
P199,Asus Z10PE-D16,Mother Board,"CPU:LGA2011-3 Narrow x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB",293.3,402.99,109.69
P200,ASRock C2750D4I,Mother Board,"CPU:Atom C2750,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",339.55,401.98,62.43
P201,Gigabyte X299 AORUS Gaming 7,Mother Board,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",283.91,399.99,116.08
P202,MSI X99A GODLIKE GAMING,Mother Board,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",302.95,399.99,97.04
P203,MSI X299 GAMING M7 ACK,Mother Board,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",278.71,397.42,118.71
P204,Supermicro MBD-X10DRI-O,Mother Board,"CPU:LGA2011-3 Narrow x 2,Form Factor:EATX,RAM Slots:16,Max RAM:1TB",291.34,394.99,103.65
P205,Asus MAXIMUS IX FORMULA,Mother Board,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",339.12,388.99,49.87
P206,Asus X99-DELUXE II,Mother Board,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",289.33,383.98,94.65
P207,ASRock Fatal1ty X299 Professional Gaming i9,Mother Board,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",287.5,382.98,95.48
P208,ASRock EP2C612 WS,Mother Board,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:8,Max RAM:64GB",308.84,358.49,49.65
P209,ASRock Z270 SuperCarrier,Mother Board,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",264.35,353.98,89.63
P210,Asus MAXIMUS VIII EXTREME/ASSEMBLY,Mother Board,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",253.41,353.98,100.57
P211,Asus STRIX X299-E GAMING,Mother Board,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",306,349.99,43.99
